ClassName,ClassID,CurrentName,Rev,VendorID,ProductID,NameInDriversCollection,NameInLinuxHardware
IOMMU,0806,Loongson Technology LLC Device,00,0014,7a1f,,
Host bridge,0600,Loongson Technology LLC Device,01,0014,7a20,,
Host bridge,0600,Loongson Technology LLC Device,00,0014,7a30,,
Audio device,0403,Loongson Technology LLC Device,00,0014,7a37,,
USB controller,0C03,[AMD],00,1022,15b9,,
USB controller,0C03,[AMD],00,1022,15ba,,
USB controller,0C03,[AMD],00,1022,15c0,,
USB controller,0C03,[AMD],00,1022,15c1,,
PCI bridge,0604,[AMD],00,1022,43ea,,
Audio device,0403,[NVIDIA],a1,10de,10fa,,
PCI bridge,0604,"Qualcomm Technologies, Inc Device",00,17cb,0111,,
PCI bridge,0604,"Cadence Design Systems, Inc. Device",00,17cd,dc01,,
PCI bridge,0604,"Cadence Design Systems, Inc. Device",00,17cd,dc08,,
PCI bridge,0604,"Cadence Design Systems, Inc. Device",00,17cd,dc16,,
PCI bridge,0604,"Huawei Technologies Co., Ltd. Device",01,19e5,3690,,
PCI bridge,0604,"Huawei Technologies Co., Ltd. Device",01,19e5,3691,,
PCI bridge,0604,ASMedia Technology Inc. Device,00,1b21,2463,,
Performance counters,1101,[Intel],00,8086,2880,,
System peripheral,0880,[Intel],00,8086,3442,,
System peripheral,0880,[Intel],00,8086,3443,,
System peripheral,0880,[Intel],00,8086,3445,,
System peripheral,0880,[Intel],00,8086,3446,,
System peripheral,0880,[Intel],00,8086,3447,,
System peripheral,0880,[Intel],00,8086,3448,,
Performance counters,1101,[Intel],00,8086,344a,,
System peripheral,0880,[Intel],00,8086,344b,,
System peripheral,0880,[Intel],00,8086,344c,,
System peripheral,0880,[Intel],00,8086,344d,,
System peripheral,0880,[Intel],00,8086,344f,,
System peripheral,0880,[Intel],00,8086,3457,,
System peripheral,0880,[Intel],06,8086,3458,,
System peripheral,0880,[Intel],06,8086,3459,,
System peripheral,0880,[Intel],06,8086,345a,,
System peripheral,0880,[Intel],06,8086,345b,,
System peripheral,0880,[Intel],06,8086,345c,,
System peripheral,0880,[Intel],06,8086,345d,,
System peripheral,0880,[Intel],06,8086,345e,,
System peripheral,0880,[Intel],06,8086,345f,,
Audio device,0403,[Intel],00,8086,490d,,
Memory controller,0580,[Intel],00,8086,490e,,
PCI bridge,0604,[Intel],00,8086,490f,,
PCI bridge,0604,[Intel],00,8086,4910,,
Communication controller,0780,[Intel],00,8086,02a8,,
Serial bus controller,0C80,[Intel],00,8086,02ab,,
PCI bridge,0604,[Intel],f0,8086,06b5,,
PCI bridge,0604,[Intel],f0,8086,06b6,,
SATA controller,0106,[Intel],00,8086,06d3,,
Host bridge,0600,[Intel],02,8086,4648,,
Host bridge,0600,[Intel],02,8086,4649,,
PCI bridge,0604,[Intel],01,8086,4dba,,
PCI bridge,0604,[Intel],01,8086,4dbb,,
Host bridge,0600,[Intel],00,8086,4e24,,
Host bridge,0600,[Intel],00,8086,4e28,,
PCI bridge,0604,[Intel],01,8086,4fa0,,
PCI bridge,0604,[Intel],00,8086,4fa4,,
PCI bridge,0604,[Intel],01,8086,51b8,,
PCI bridge,0604,[Intel],01,8086,51ba,,
PCI bridge,0604,[Intel],01,8086,51be,,
Ethernet controller,0200,[Intel],20,8086,550b,,
Host bridge,0600,[Intel],04,8086,6400,,
Signal processing controller,1180,[Intel],04,8086,641d,,
Signal processing controller,1180,[Intel],04,8086,647d,,
ISA bridge,0601,[Intel],11,8086,7a06,,
PCI bridge,0604,[Intel],11,8086,7a34,,
PCI bridge,0604,[Intel],11,8086,7a3c,,
Host bridge,0600,[Intel],04,8086,7d01,,
Host bridge,0600,[Intel],04,8086,7d14,,
ISA bridge,0601,[Intel],20,8086,7e02,,
PCI bridge,0604,[Intel],20,8086,7e38,,
PCI bridge,0604,[Intel],20,8086,7e3e,,
PCI bridge,0604,[Intel],20,8086,7e4d,,
RAM memory,0500,[Intel],20,8086,7e7f,,
PCI bridge,0604,[Intel],10,8086,7eca,,
PCI bridge,0604,[Intel],10,8086,7ecb,,
Host bridge,0600,[Intel],0c,8086,9b71,,
PCI bridge,0604,[Intel],20,8086,a0b8,,
PCI bridge,0604,[Intel],20,8086,a0ba,,
Host bridge,0600,[Intel],01,8086,a700,,
ISA bridge,0601,[Intel],10,8086,a807,,
Serial bus controller,0C80,[Intel],10,8086,a850,,
Serial bus controller,0C80,[Intel],10,8086,a851,,
Communication controller,0780,[Intel],10,8086,a862,,
Communication controller,0780,[Intel],10,8086,a870,,
RAM memory,0500,[Intel],10,8086,a87f,,
Non-Volatile memory controller,0108,[Intel],03,8086,f1aa,,
